Área,Reason,Etiqueta problemática,Detalle,URL,Output esperado,Texto 1,Output1,Solución,Created Date
,"Paso estas etiquetas: Etiqueta: Morosidad Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Aquellas normas que impacten en su operativa en materia de morosidad, relacionado con Ley 3/2004 y su posible recast europeo, normas sectoriales, sanciones y doctrina que amplíen plazos máximos de pago, incrementen intereses de demora, impongan reporting o establezcan multas por retraso, afectando la rentabilidad esperada de facturas y préstamos impagados
Etiqueta: Protección de Datos y Privacidad Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Única y exclusivamente, resoluciones AEPD y otra normativa que altere y crea un nuevo criterio interpretativo en materia de bases de legitimación, profiling, conservación, transferencias internacionales o sanciones de datos, todo ello APLICABLE al tratamiento de información de deudores y cesionarios; esencial para adaptar sistemas, contratos y evitar multas.
Etiqueta: Inteligencia Artificial Definicion:En el contexto de EOS una entidad de gesión de crédito en España, Avances normativos sustanciales (AI Act UE, AI Office UE/España, leyes de transposición, reglamentos técnicos) que establezcan requisitos de clasificación de riesgos, registros, auditorías o prohibiciones para sistemas de scoring y recuperación; sólo se detectan hitos legislativos o reglamentarios con impacto operativo real.
Etiqueta: Grandes Tenedores Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Normas estatales y autonómicas que definen grandes tenedores de inmuebles e imponen registro, oferta de alquiler social, limitación de desahucios y control de precios, modificando obligaciones y riesgos para fondos con carteras inmobiliarias extensas. M
Etiqueta: Crédito Hipotecario y Sector Inmobiliario Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Reformas de la LCCI, legislación autonómica, Real-decretos sobre tasación, alquiler social, dación en pago, desahucios y obligaciones de grandes tenedores, que condicionan la ejecución, el valor colateral y los flujos de recobro de hipotecas NPL.
Etiqueta: Contact Center Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Ley de Servicios de Atención al Cliente y normativa sectorial que fije tiempos de respuesta, accesibilidad multicanal, registro y conservación de grabaciones, protección de datos vocales y sanciones, impactando los procesos de recobro telefónico y digitales.
Etiqueta:Consumo Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Modificaciones del TRLGDCU, normas autonómicas y europeas que afectan a transparencia, cláusulas abusivas, intereses moratorios, comunicación pre-contractual o derecho de desistimiento, pues determinan la validez de contratos y la exposición a reclamaciones de deudores minoristas
Etiqueta: Consumidor Vulnerable Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Ley 4/2022, códigos de buenas prácticas, reales decretos y guías BDE/CNMC que extienden protección a colectivos vulnerables (suspensión de desahucios, límites a recobro, atención prioritaria), alterando estrategia y reputación del gestor
Etiqueta: Cesión de Crédito Definicion: En el contexto de EOS una entidad de gesión de crédito en España,Cualquier reforma o interpretación en Código Civil, Ley de Contratos de Crédito, fiscalidad, directiva y normas de gestores de créditos, plusvalías, notificación al deudor, garantías y régimen de responsabilidades, que altere proceso, coste o seguridad jurídica en la compra-venta o servicing de carter
Etiqueta: Blanqueo de Capitales Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Reformas de la Ley 10/2010, nuevas Directivas AML, guías, sanciones relevantes y criterios jurisprudenciales que amplíen obligaciones de diligencia debida, listEtiqueta que agrupa todas las obligaciones legales que pueden afectar a Allianz como aseguradora global. Incluye cumplimiento del RGPD, LOPDGDD y normativa sectorial (Solvencia II, IDD), así como requisitos de ciberseguridad conforme a marcos europeos (NIS2, DORA) y buenas prácticas internacionales como el marco NIST del gobierno de EE. UU que puede impactar indirectamente. Abarca también prevención de blanqueo (AML/CFT), transparencia en la comercialización de seguros, gobernanza de producto (POG), contratación electrónica y reporte ante autoridades (DGSFP, EIOPA). Se extiende a riesgos tecnológicos, uso de IA, biometría y automatización, con actualización continua ante cambios normativos http://europeos.as/ de sancionados, trazabilidad de fondos o comunicación de operaciones sospechosas, lo que eleva riesgo sancionador y costes de cumplimiento
Etiqueta: Administradores de Créditos (Credit Servicers) Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Directiva (UE) 2021/2167, y normas nacionales sobre autorización, solvencia, gobierno corporativo y reporting, que determinan requisitos prudenciales y de conducta para el propio servicer
Etiqueta: Enjuiciamiento Civil Definición: En el contexto de EOS una entidad de gesión de crédito en España, Cambios en la LEC, leyes procesales complementarias u otras disposiciones que reajusten plazos, costas, subastas electrónicas, ejecución hipotecaria o monitorios; incluyen digitalización judicial, criterios sobre admisibilidad de documentos y tasas, dado que modifican directamente la estrategia, el coste y el calendario de recuperación de NPL",,,https://www.boe.es/doue/2021/438/L00001-00037.pdf,"{
""Cesión de Crédito"": {
""explicacion"": ""La Directiva (UE) 2021/2167 armoniza las condiciones para que las entidades de crédito puedan ceder contratos dudosos a compradores de créditos en mercados secundarios y, al mismo tiempo, protege que el prestatario no resulte perjudicado por la cesión; incluso prevé que los Estados miembros puedan poner límites a la cesión de contratos que aún no estén vencidos o lleven menos de 90 días en mora. Esto incide directamente en EOS, que adquiere carteras y necesita operar bajo un marco claro y transfronterizo para la compra-venta y servicing de créditos."",
""nivel_impacto"": ""Alto""
},
""Administradores de Créditos (Credit Servicers)"": {
""explicacion"": ""La norma crea, por primera vez, un régimen europeo de autorización y supervisión para los administradores de créditos: fija requisitos de honorabilidad, gobierno corporativo, controles internos y responsabilidad última ante el comprador de crédito. EOS, que ya actúa como servicer, deberá obtener (o convalidar) esta autorización y cumplir los estándares de supervisión continuada por la autoridad competente de su Estado miembro."",
""nivel_impacto"": ""Alto""
},
""Morosidad / Préstamos Dudosos"": {
""explicacion"": ""El objetivo macro de la Directiva es reducir los NPLs en la UE promoviendo mercados secundarios eficientes y transparentes. Para EOS supone una oportunidad, pero también exige reportar periódicamente datos agregados de volumen y saldos de las carteras que adquiera y administre, y ajustarse a plantillas estandarizadas de la ABE para informar sobre préstamos dudosos."",
""nivel_impacto"": ""Medio-Bajo""
},
""Protección de Datos"": {
""explicacion"": ""El artículo 25 remite expresamente al RGPD y al Reglamento 2018/1725: cualquier tratamiento de datos personales durante la cesión o servicing debe atenerse a los principios de necesidad, proporcionalidad y minimización. EOS tendrá que documentar bases jurídicas y salvaguardas de seguridad cuando comparta información con potenciales compradores o con sub-servicers."",
""nivel_impacto"": ""Bajo""
},
""Consumo"": {
""explicacion"": ""La Directiva modifica las Directivas 2008/48/CE y 2014/17/UE para asegurar que, tras la cesión, el consumidor conserva íntegros sus derechos (por ejemplo, a liquidar anticipadamente o recibir información de modificaciones). EOS debe mantener procedimientos de reclamaciones gratuitos y transparencia plena al gestionar créditos de particulares."",
""nivel_impacto"": ""Bajo""
},
""Blanqueo de Capitales"": {
""explicacion"": ""Se insta a la Comisión a evaluar los riesgos de blanqueo y financiación del terrorismo ligados a la actividad de compradores y administradores de créditos, remitiéndose a la Directiva (UE) 2015/849. EOS deberá reforzar sus controles AML/KYC, ya que los supervisores podrían introducir requisitos adicionales tras esa evaluación."",
""nivel_impacto"": ""Bajo""
}
}",,,,9 de julio de 2025 12:07
,"***Etiquetas debería salir a GAP: Residuos y Medio Ambiente – GA_P: Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta nuevas normas, actualizaciones y documentos vinculantes sobre residuos, economía circular, vertederos, envases y responsabilidad ampliada del productor. Cobertura: BOE, DOUE, boletines autonómicos y publicaciones oficiales (MITECO, comunidades autónomas y ayuntamientos), incluso cuando no figuren en fuentes agregadas. Incluye: leyes, reales decretos, decretos autonómicos, órdenes y ordenanzas definitivas que introduzcan obligaciones o tarifas. No incluye: proyectos en consulta o anteproyecto, planes estratégicos, subvenciones y ayudas, programas o convenios sin fuerza normativa, informes de impacto ambiental, resoluciones judiciales aisladas.",,Esta en bbdd,https://eur-lex.europa.eu/eli/reco/2025/1307/oj,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""La Recomendación (UE) 2025/1307 invita a los Estados miembros a conceder créditos fiscales y depreciación acelerada para inversiones que favorezcan la descarbonización y la economía circular, pero es un acto de soft law basado en el artículo 292 TFUE, sin fuerza vinculante. No introduce obligaciones, tarifas ni requisitos nuevos en materia de residuos, envases o responsabilidad ampliada del productor; solo ofrece incentivos voluntarios que los Estados miembros podrán adoptar. Por tanto, su efecto sobre la etiqueta se limita a un seguimiento documental para identificar posibles oportunidades de financiación, sin exigir cambios regulatorios o tecnológicos."",
""nivel_impacto"": ""Bajo""
}, ""Fiscalidad Corporativa – Inditex"": {
""explicacion"": ""La Recomendación (UE) 2025/1307 invita a los Estados miembros a modificar el Impuesto sobre Sociedades (créditos fiscales reembolsables, amortización inmediata, traslado de pérdidas) para inversiones en tecnologías limpias y descarbonización industrial, así como a revisar gastos fiscales fósiles. Aunque es soft-law y no crea obligaciones vinculantes, anticipa ajustes en normas fiscales que incidirán en la planificación tributaria y en los modelos de inversión de los grupos corporativos."",
""nivel_impacto"": ""Bajo""
}
}
",,,,9 de julio de 2025 14:05
,"Etiquetas debería salir a GAP: Residuos y Medio Ambiente – GA_P: Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta nuevas normas, actualizaciones y documentos vinculantes sobre residuos, economía circular, vertederos, envases y responsabilidad ampliada del productor. Cobertura: BOE, DOUE, boletines autonómicos y publicaciones oficiales (MITECO, comunidades autónomas y ayuntamientos), incluso cuando no figuren en fuentes agregadas. Incluye: leyes, reales decretos, decretos autonómicos, órdenes y ordenanzas definitivas que introduzcan obligaciones o tarifas. No incluye: proyectos en consulta o anteproyecto, planes estratégicos, subvenciones y ayudas, programas o convenios sin fuerza normativa, informes de impacto ambiental, resoluciones judiciales aisladas.",,,https://sede.asturias.es/bopa/2025/07/07/2025-05732.pdf,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""La ordenanza municipal de Castropol modifica las tarifas de la tasa por recogida de residuos sólidos urbanos, fijando nuevas cuantías por vivienda, hostelería, industria y servicio de punto limpio. Al ser una norma local definitiva y de aplicación inmediata, introduce precios obligatorios para la gestión de residuos dentro del municipio, debiendo los operadores y titulares repercutir o asumir los nuevos importes."",
""nivel_impacto"": ""Medio""
},
""Eitqueta: Novedades normativas en residuos - Harmon"": {
""explicacion"": ""La modificación de la tasa de recogida de basuras afecta directamente al coste y facturación de los servicios de residuos urbanos que Harmon puede prestar o licitar en Castropol, ya que determina el marco económico y las obligaciones de cobro a usuarios finales y establecimientos."",
""nivel_impacto"": ""Medio""
}
}
",,,,9 de julio de 2025 14:22
,"***Deberái salir: Employment & PRL – GA_P
Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta cambios legales en prevención de riesgos laborales y condiciones de trabajo: coordinación de actividades, EPIs, jornada, desconexión digital, igualdad y protección sindical. Cobertura: BOE, DOUE, INSST, DGOSS, boletines autonómicos. No incluye: convenios colectivos (estatales, autonómicos o de empresa), informes técnicos sin valor normativo, resoluciones judiciales aisladas.",,No esta en bbdd,https://dogv.gva.es/datos/2025/07/07/pdf/2025_24690_es.pdf,"{
""Employment & PRL – Gomez Acebo y Pombo"": {
""explicacion"": ""El Decreto 100/2025, publicado en el DOGV el 7 de julio de 2025, aprueba el calendario laboral de la Comunitat Valenciana para 2026 y declara 12 días inhábiles, retribuidos y no recuperables. Basado en el artículo 37.2 del Estatuto de los Trabajadores y en el artículo 45 del Real Decreto 2001/1983, la norma es de obligado cumplimiento y obliga a las empresas a actualizar cuadrantes, sistemas de fichaje y nóminas, así como a informar a la plantilla antes del 1 de enero de 2026. Al suponer ajustes operativos pero no un rediseño estructural, el impacto se califica como 'Medio'."",
""nivel_impacto"": ""Medio""
}
}
",,,,12 de julio de 2025 10:53
,"***Debería salir residuos GAP: ",,,https://sede.asturias.es/bopa/2025/07/10/2025-05664.pdf,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""El anuncio BOPA 2025-05664 (10-07-2025) publica la aprobación inicial de la modificación de la ordenanza fiscal de la tasa de basura y la creación de una ordenanza de compostaje del Ayuntamiento de Taramundi. De acuerdo con los artículos 17 TRLRHL y 49 Ley 7/1985, el texto abre un plazo de información pública de 30 días y no genera aún obligaciones ni tarifas exigibles; la ordenanza solo surtirá efecto tras su aprobación definitiva y nueva publicación. Por tratarse de un proyecto en consulta, la etiqueta lo excluye y su seguimiento es meramente documental."",
""nivel_impacto"": ""Bajo""
}
}
",,,,12 de julio de 2025 10:58
Residuos,Residuos gap,,,https://www.caib.es/eboibfront/ca/2025/12123/703168/correccio-d-errata-del-decret-llei-5-2025-de-16-de,"{
""Employment & PRL – Gomez Acebo y Pombo"": {
""explicacion"": ""El Decreto 100/2025 fija los 12 días festivos autonómicos retribuidos y no recuperables en la Comunitat Valenciana para 2026. Afecta directamente a la planificación de jornada, calendarios laborales, cómputo anual de horas y gestión de turnos, obligando a las empresas a actualizar cuadrantes y costes de personal conforme al Estatuto de los Trabajadores."",
""nivel_impacto"": ""Bajo""
}
}
",,No es relevante solo notifica una errata mde cambio fecha de firma de decreto ley de residuos,,12 de julio de 2025 11:04
Convenio de IG,"***Emplyment GAP: Employment & PRL – GA_P
Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta cambios legales en prevención de riesgos laborales y condiciones de trabajo: coordinación de actividades, EPIs, jornada, desconexión digital, igualdad y protección sindical. Cobertura: BOE, DOUE, INSST, DGOSS, boletines autonómicos. No incluye: convenios colectivos (estatales, autonómicos o de empresa), informes técnicos sin valor normativo, resoluciones judiciales aisladas.
",,Esta en bbdd,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-14005,"{
""Employment & PRL – Gomez Acebo y Pombo"": {
""explicacion"": ""El Acuerdo de 18-06-2025 de la Mesa General de Negociación de la AGE (publicado por Resolución BOE-A-2025-14005) reorganiza los ámbitos de negociación y actualiza las dispensas y créditos horarios sindicales dentro de la Administración General del Estado. Al tratarse de un acuerdo de negociación colectiva interno al sector público, su eficacia se limita a la AGE y no introduce obligaciones para las empresas privadas. Por tanto, para los clientes corporativos de GA_P basta con registrarlo como referencia sobre protección sindical en el sector público, sin requerir adaptaciones operativas."",
""nivel_impacto"": ""Bajo""
}
}
",,"Filtra de mas: El texto es convenio/acuerdo interno relevante entre una entidad pública (AGE) y sindicatos que solo regula la negociación colectiva y recursos sindicales dentro del sector público. No lo etiquetapq dejamos fuera expresamente convenios

",,12 de julio de 2025 11:15
Residuos,Residuos gap,,,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-14199,"{
""AgriFood – AF_C"": {
""explicacion"": ""La Orden APA/729/2025 homologa el contrato-tipo que regulará la campaña 2025/2026 de tabaco crudo. El modelo—impulsado por la interprofesional OITAB y con vigencia anual—establece las condiciones mínimas de cultivo y compraventa entre productores y primeras transformadoras: exclusividad de la producción, límites por superficie y kilos, trazabilidad desde la semilla y control de fitosanitarios (LMR), requisitos de humedad y calidad, precios por grado, calendario de entregas y pagos quincenales, registro obligatorio en el Registro de Contratos Alimentarios y cláusulas de sostenibilidad, RSE y lucha contra el comercio ilícito. Uniforma las relaciones contractuales pero no introduce obligaciones nuevas de carácter general, por lo que su alcance regulatorio es limitado al sector tabaquero."",
""nivel_impacto"": ""Bajo""
}
}
",,,,12 de julio de 2025 11:18
Residuos,Residuos gap,,,https://www.caib.es/eboibfront/ca/2025/12123/703156/aprovacio-definitiva-de-la-modificacio-dels-art-21,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""El BOIB n.º 88 de 10-07-2025 publica la aprobación definitiva de la modificación de los artículos 21 y 26 de la Ordenanza municipal de residuos urbanos de Costitx, incorporando un listado cerrado de residuos no admitidos en el \""parc verd\"" (p. ej., RCD, vehículos fuera de uso, residuos hospitalarios) y un catálogo de infracciones graves que sancionan vertidos incontrolados, mezclas indebidas y uso inadecuado de las áreas de aportación. Al ser una ordenanza local definitiva, introduce obligaciones operativas inmediatas en clasificación, señalización y gestión de residuos para las empresas y particulares que actúan en el municipio. No requiere cambios estratégicos ni inversiones masivas, pero sí ajustes procedimentales y de cumplimiento. Por tanto, su impacto se califica como 'Medio'."",
""nivel_impacto"": ""Medio""
},  ""Waste – WS_C"": {
""explicacion"": ""El BOIB 88/2025 publica la aprobación definitiva de la reforma de los artículos 21 y 26 de la Ordenanza municipal de residuos urbanos de Costitx.  • Art. 21 detalla la lista de residuos admisibles en el parc verd (punto limpio), autoriza al ayuntamiento a ampliarla según normativa y veta expresamente residuos infecciosos, radioactivos, explosivos, industriales, hospitalarios, de vehículos fuera de uso y escombros de construcción o demolición.  • Art. 26 redefine las infracciones graves: falta de autorización, falsedad de datos, desobediencia de medidas cautelares, reincidencia, vertidos incontrolados de residuos no peligrosos o de RCD, depósito indebido de voluminosos, mezcla de residuos peligrosos en selectiva, uso indebido de la tarjeta de acceso al parc verd y otras infracciones específicas.  El acuerdo queda elevado a definitivo al no recibirse alegaciones en exposición pública. Su alcance es puramente local y clarifica obligaciones y sanciones para vecinos y empresas respecto a la gestión de residuos en Costitx."",
""nivel_impacto"": ""Bajo""
}
}
",,,,12 de julio de 2025 11:21
,"Irrelevante fincnace: Financial Regulatory – GA_P
Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente monitoriza cambios normativos y técnicos en regulación financiera, prevención de blanqueo, mercados de valores, pagos y criptoactivos. Cobertura: CNMV, Banco de España, ESMA, EBA, DOUE. Incluye directivas, reglamentos, guías y Q&A de supervisores. No incluye: comunicaciones comerciales, sanciones individuales, decisiones prejudiciales sin efecto general, resoluciones interpretativas sin carácter normativo.",,,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202503825,{},,,,12 de julio de 2025 11:54
