ID,Área1,Área,Reason,Etiqueta problemática,Detalle,URL,Output esperado,Texto (primeros 75 caracteres),Conclusiones,Created Date
Doc01,Analisis,Ley larga: imapcto en muchos agentes,"Paso estas etiquetas: Etiqueta: Morosidad Definicion: En el contexto de EOS una entidad de gesión de crédito en España, Aquellas normas que impacten en su operativa en materia de morosidad, relacionado con Ley 3/2004 y su posible recast europeo, normas sectoriales, sanciones y doctrina que amplíen plazos máximos de pago, incrementen intereses de demora, impongan reporting o establezcan multas p...",,,https://www.boe.es/doue/2021/438/L00001-00037.pdf,"{
""Cesión de Crédito"": {
""explicacion"": ""La Directiva (UE) 2021/2167 armoniza las condiciones para que las entidades de crédito puedan ceder contratos dudosos a compradores de créditos en mercados secundarios y, al mismo tiempo, protege que el prestatario no resulte perjudicado por la cesión; incluso prevé que los Estados miembros puedan poner límites a la cesión de contratos que aún no estén vencidos o lleven menos de 90 días en mora. Esto incide directamente en EOS, que adquiere carteras y necesita operar bajo un marco claro y transfronterizo para la compra-venta y servicing de créditos."",
""nivel_impacto"": ""Alto""
},
""Administradores de Créditos (Credit Servicers)"": {
""explicacion"": ""La norma crea, por primera vez, un régimen europeo de autorización y supervisión para los administradores de créditos: fija requisitos de honorabilidad, gobierno corporativo, controles internos y responsabilidad última ante el comprador de crédito. EOS, que ya actúa como servicer, deberá obtener (o convalidar) esta autorización y cumplir los estándares de supervisión continuada por la autoridad competente de su Estado miembro."",
""nivel_impacto"": ""Alto""
},
""Morosidad"": {
""explicacion"": ""El objetivo macro de la Directiva es reducir los NPLs en la UE promoviendo mercados secundarios eficientes y transparentes. Para EOS supone una oportunidad, pero también exige reportar periódicamente datos agregados de volumen y saldos de las carteras que adquiera y administre, y ajustarse a plantillas estandarizadas de la ABE para informar sobre préstamos dudosos."",
""nivel_impacto"": ""Medio-Bajo""
},
""Protección de Datos y privacidad EOS"": {
""explicacion"": ""El artículo 25 remite expresamente al RGPD y al Reglamento 2018/1725: cualquier tratamiento de datos personales durante la cesión o servicing debe atenerse a los principios de necesidad, proporcionalidad y minimización. EOS tendrá que documentar bases jurídicas y salvaguardas de seguridad cuando comparta información con potenciales compradores o con sub-servicers."",
""nivel_impacto"": ""Bajo""
},
""Consumo"": {
""explicacion"": ""La Directiva modifica las Directivas 2008/48/CE y 2014/17/UE para asegurar que, tras la cesión, el consumidor conserva íntegros sus derechos (por ejemplo, a liquidar anticipadamente o recibir información de modificaciones). EOS debe mantener procedimientos de reclamaciones gratuitos y transparencia plena al gestionar créditos de particulares."",
""nivel_impacto"": ""Bajo""
},
""Blanqueo de Capitales"": {
""explicacion"": ""Se insta a la Comisión a evaluar los riesgos de blanqueo y financiación del terrorismo ligados a la actividad de compradores y administradores de créditos, remitiéndose a la Directiva (UE) 2015/849. EOS deberá reforzar sus controles AML/KYC, ya que los supervisores podrían introducir requisitos adicionales tras esa evaluación."",
""nivel_impacto"": ""Bajo""
}
}","Doc01: I (Actos legislativos) DIRECTIVAS DIRECTIVA (UE) 2021/2167 DEL PARLAMENTO EUROPEO Y DEL CONSEJO de 24 de noviembre de 2021 sobre los administradores de créditos y los compradores de créditos y por la que se modifican las Directivas 2008/48/CE y 2014/17/UE (Texto pertinente a efectos del EEE) EL PARLAMENTO EUROPEO Y EL CONSEJO DE LA UNIÓN EUROPEA, Visto el Tratado de Funcionamiento de la Unión Europea, y en particular sus artículos 53 y 114, Vista la",,9 de julio de 2025 12:07
Doc02,Falta,Falta: Residuos,"***Etiquetas debería salir a GAP: Residuos y Medio Ambiente – GA_P: Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta nuevas normas, actualizaciones y documentos vinculantes sobre residuos, economía circular, vertederos, envases y responsabilidad ampliada del productor. Cobertura: BOE, DOUE, boleti...",Residuos y Medio Ambiente – GA_P: Gómez‑Acebo & Pombo,Esta en bbdd,https://eur-lex.europa.eu/eli/reco/2025/1307/oj,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""La Recomendación (UE) 2025/1307 invita a los Estados miembros a conceder créditos fiscales y depreciación acelerada para inversiones que favorezcan la descarbonización y la economía circular, pero es un acto de soft law basado en el artículo 292 TFUE, sin fuerza vinculante. No introduce obligaciones, tarifas ni requisitos nuevos en materia de residuos, envases o responsabilidad ampliada del productor; solo ofrece incentivos voluntarios que los Estados miembros podrán adoptar. Por tanto, su efecto sobre la etiqueta se limita a un seguimiento documental para identificar posibles oportunidades de financiación, sin exigir cambios regulatorios o tecnológicos."",
""nivel_impacto"": ""Bajo""
}
}
","Doc02: COMMISSION RECOMMENDATION (EU) 2025/1307
of 2 July 2025
on tax incentives to support the Clean Industrial Deal and in light of the Clean Industrial Deal State aid Framework
THE EUROPEAN COMMISSION,
Having regard to the Treaty on the Functioning of the European Union, and in particular Article 292 thereof,
Whereas:(1)On 29 January 2025, the European Commission published the Competitiveness Compass Communication https://eur-lex.europa.eu/eli/reco/2025/1307/oj#ntr1-L_202501307EN.000101-E0001, which lists priority actions to reignite economic dynamism in Europe. ",,9 de julio de 2025 14:05
Doc03,Falta,Falta: Residuos,"Etiquetas debería salir a GAP: Residuos y Medio Ambiente – GA_P: Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta nuevas normas, actualizaciones y documentos vinculantes sobre residuos, economía circular, vertederos, envases y responsabilidad ampliada del productor. Cobertura: BOE, DOUE, boletines...",,,https://sede.asturias.es/bopa/2025/07/07/2025-05732.pdf,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""La ordenanza municipal de Castropol modifica las tarifas de la tasa por recogida de residuos sólidos urbanos, fijando nuevas cuantías por vivienda, hostelería, industria y servicio de punto limpio. Al ser una norma local definitiva y de aplicación inmediata, introduce precios obligatorios para la gestión de residuos dentro del municipio, debiendo los operadores y titulares repercutir o asumir los nuevos importes."",
""nivel_impacto"": ""Medio""
},
""Novedades normativas en residuos - Harmon"": {
""explicacion"": ""La modificación de la tasa de recogida de basuras afecta directamente al coste y facturación de los servicios de residuos urbanos que Harmon puede prestar o licitar en Castropol, ya que determina el marco económico y las obligaciones de cobro a usuarios finales y establecimientos."",
""nivel_impacto"": ""Medio""
}
}
","Doc03: https://sede.asturias.es/bopa BOLETÍN OFICIAL DEL PRINCIPADO DE ASTURIAS núm. 129 de 7-VII-2025 1/2 Cód. 2025-05732 IV. Administración Local Ayuntamientos De Castropol Anuncio. Aprobación definitiva de la modificación de la Ordenanza Municipal Fiscal reguladora de la tasa por pres­ tación del servicio de recogida de residuos. Anuncio El Pleno del Ayuntamiento de Castropol, en sesión ordinaria de 31 de marzo de 2025, acordó aprobar provisional­ mente la modificación de la ordenanza fiscal reguladora de la tasa por",,9 de julio de 2025 14:22
Doc04,Falta,Falta: Employment,"***Deberái salir: Employment & PRL – GA_P Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta cambios legales en prevención de riesgos laborales y condiciones de trabajo: coordinación de actividades, EPIs, jornada, desconexión digital, igualdad y protección sindical. Cobertura: BOE, DOUE, INSST, DGOS...",,No esta en bbdd,https://dogv.gva.es/datos/2025/07/07/pdf/2025_24690_es.pdf,"{
""Employment & PRL – Gomez Acebo y Pombo"": {
""explicacion"": ""El Decreto 100/2025, publicado en el DOGV el 7 de julio de 2025, aprueba el calendario laboral de la Comunitat Valenciana para 2026 y declara 12 días inhábiles, retribuidos y no recuperables. Basado en el artículo 37.2 del Estatuto de los Trabajadores y en el artículo 45 del Real Decreto 2001/1983, la norma es de obligado cumplimiento y obliga a las empresas a actualizar cuadrantes, sistemas de fichaje y nóminas, así como a informar a la plantilla antes del 1 de enero de 2026. Al suponer ajustes operativos pero no un rediseño estructural, el impacto se califica como 'Medio'."",
""nivel_impacto"": ""Medio""
}
}
","Doc04: Núm. 10145 / 07.07.2025 1 / 2 CVE: DOGV-C-2025-24690 https://dogv.gva.es/ I. DISPOSICIONES GENERALES Conselleria de Educación, Cultura, Universidades y Empleo DECRETO 100/2025, de 1 de julio, del Consell, por el que se determina el calendario laboral de aplicación en el ámbito territorial de la Comunitat Valenciana para el año 2026. Los artículos 37.2 del texto refundido de la Ley del Estatuto de los Trabajadores, aprobado mediante Real decreto legislativo 2/2015, de 23 de octubre, y",,12 de julio de 2025 10:53
Doc05,Falta,Falta: Residuos,***Debería salir residuos GAP:,,,https://sede.asturias.es/bopa/2025/07/10/2025-05664.pdf,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""El anuncio BOPA 2025-05664 (10-07-2025) publica la aprobación inicial de la modificación de la ordenanza fiscal de la tasa de basura y la creación de una ordenanza de compostaje del Ayuntamiento de Taramundi. De acuerdo con los artículos 17 TRLRHL y 49 Ley 7/1985, el texto abre un plazo de información pública de 30 días y no genera aún obligaciones ni tarifas exigibles; la ordenanza solo surtirá efecto tras su aprobación definitiva y nueva publicación. Por tratarse de un proyecto en consulta, la etiqueta lo excluye y su seguimiento es meramente documental."",
""nivel_impacto"": ""Bajo""
}, ""Novedades normativas en residuos - Harmon"": { ""explicacion"": ""El anuncio de modificación de la ordenanza de la tasa de basura y creación de la ordenanza de compostaje introduce nuevas obligaciones tarifarias y de gestión de residuos (sistema de compostaje) para los operadores municipales y usuarios en el municipio de Taramundi, ajustando el marco normativo local sobre reducción de residuos y reciclaje de materia orgánica."", ""nivel_impacto"": ""Medio""
}
","Doc05: https://sede.asturias.es/bopa BOLETÍN OFICIAL DEL PRINCIPADO DE ASTURIAS núm. 132 de 10-VII-2025 1/1 Cód. 2025-05664 IV. Administración Local Ayuntamientos De Taramundi Anuncio. Modificación de la ordenanza de la tasa de basura y creación de la ordenanza reguladora del sistema de compostaje para la reducción de residuos y la aplicación de tarifas específicas. Anuncio Aprobada inicialmente por el Ayuntamiento Pleno, en sesión celebrada el día 25 de junio de 2025, la modificación de la ordenanza de la",,12 de julio de 2025 10:58
Doc06,Ruido,Ruido: Residuos,Residuos gap,,,https://www.caib.es/eboibfront/ca/2025/12123/703168/correccio-d-errata-del-decret-llei-5-2025-de-16-de,"{}
","Doc06: RECERCA AVANÇADA Català \ Castellano Accessibilitat Inici > BOIB, Butlletí Oficial > BOIB Núm 088 - 10 / juliol / 2025 > Pàg. 38073 a 38073 Menú general Secció I. Disposicions generals CONSELL DE GOVERN Núm. 478815 Correcció d’errata del Decret Llei 5/2025, de 16 de maig, de mesures extraordinàries i urgents en matèria de capitalitat de Palma i Eivissa, de Menorca Reserva de Biosfera i de transport interinsular de residus de Formentera a Eivissa",No es relevante solo notifica una errata mde cambio fecha de firma de decreto ley de residuos,12 de julio de 2025 11:04
Doc07,Falta,Falta: Convenio de IG,"***Emplyment GAP: Employment & PRL – GA_P Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente detecta cambios legales en prevención de riesgos laborales y condiciones de trabajo: coordinación de actividades, EPIs, jornada, desconexión digital, igualdad y protección sindical. Cobertura: BOE, DOUE, INSST, DGOS...",,Esta en bbdd,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-14005,"{
""Employment & PRL – Gomez Acebo y Pombo"": {
""explicacion"": ""El Acuerdo de 18-06-2025 de la Mesa General de Negociación de la AGE (publicado por Resolución BOE-A-2025-14005) reorganiza los ámbitos de negociación y actualiza las dispensas y créditos horarios sindicales dentro de la Administración General del Estado. Al tratarse de un acuerdo de negociación colectiva interno al sector público, su eficacia se limita a la AGE y no introduce obligaciones para las empresas privadas. Por tanto, para los clientes corporativos de GA_P basta con registrarlo como referencia sobre protección sindical en el sector público, sin requerir adaptaciones operativas."",
""nivel_impacto"": ""Bajo""
}
}
",Doc07: Agencia Estatal Boletín Oficial del Estado Consultar el diario oficial BOE Puede seleccionar otro idioma: Castellanoes esCastellano caCatalà glGalego euEuskara vaValencià enEnglish frFrançais Buscar Mi BOE Desconectado.Pulse para acceder al servicio 'Mi BOE' Menú Menú Diarios Oficiales BOE BORME Otros diarios oficiales Información Jurídica Todo el Derecho Biblioteca Jurídica Digital Otros servicios Notificaciones Edictos judiciales Portal de subastas Anunciantes Datos abiertos Está Vd. en Inicio BOE Documento BOE-A-2025-14005 anterior siguiente Documento BOE-A-2025-14005 Resolución de 24,Filtra de mas: El texto es convenio/acuerdo interno relevante entre una entidad pública (AGE) y sindicatos que solo regula la negociación colectiva y recursos sindicales dentro del sector público. No lo etiquetapq dejamos fuera expresamente convenios,12 de julio de 2025 11:15
Doc08,Falta,Falta: Residuos,Residuos gap,,,https://www.boe.es/diario_boe/txt.php?id=BOE-A-2025-14199,"{}
","Doc08: Agencia Estatal Boletín Oficial del Estado Consultar el diario oficial BOE Puede seleccionar otro idioma: Castellanoes esCastellano caCatalà glGalego euEuskara vaValencià enEnglish frFrançais Buscar Mi BOE Desconectado.Pulse para acceder al servicio 'Mi BOE' Menú Menú Diarios Oficiales BOE BORME Otros diarios oficiales Información Jurídica Todo el Derecho Biblioteca Jurídica Digital Otros servicios Notificaciones Edictos judiciales Portal de subastas Anunciantes Datos abiertos Está Vd. en Inicio BOE Documento BOE-A-2025-14199 anterior siguiente Documento BOE-A-2025-14199 Orden APA/729/2025, de",,12 de julio de 2025 11:18
Doc09,Falta,Falta: Residuos,Residuos gap,,,https://www.caib.es/eboibfront/ca/2025/12123/703156/aprovacio-definitiva-de-la-modificacio-dels-art-21,"{
""Residuos y Medio Ambiente – Gomez Acebo y Pombo"": {
""explicacion"": ""El BOIB n.º 88 de 10-07-2025 publica la aprobación definitiva de la modificación de los artículos 21 y 26 de la Ordenanza municipal de residuos urbanos de Costitx, incorporando un listado cerrado de residuos no admitidos en el \""parc verd\"" (p. ej., RCD, vehículos fuera de uso, residuos hospitalarios) y un catálogo de infracciones graves que sancionan vertidos incontrolados, mezclas indebidas y uso inadecuado de las áreas de aportación. Al ser una ordenanza local definitiva, introduce obligaciones operativas inmediatas en clasificación, señalización y gestión de residuos para las empresas y particulares que actúan en el municipio. No requiere cambios estratégicos ni inversiones masivas, pero sí ajustes procedimentales y de cumplimiento. Por tanto, su impacto se califica como 'Medio'."",
""nivel_impacto"": ""Medio""
}
}","Doc09: RECERCA AVANÇADA Català \ Castellano Accessibilitat Inici > BOIB, Butlletí Oficial > BOIB Núm 088 - 10 / juliol / 2025 > Pàg. 38104 a 38104 Menú general Secció I. Disposicions generals AJUNTAMENT DE COSTITX Núm. 477888 Aprovació definitiva de la modificació dels art. 21 i 26 de l'Ordenança municipal de residus urbans de l'Ajuntament de Costitx Contingut, oficial i autèntic, de la disposició: Versió PDF Text Transcorregut el Termini d'exposició pública sense que s'hagin",,12 de julio de 2025 11:21
Doc10,Ruido,Ruido: Financial Regulatory GAP,"Irrelevante finance: Financial Regulatory – GA_P Gómez‑Acebo & Pombo asesora a empresas altamente reguladas en sectores clave, combinando rigor jurídico con visión estratégica. Este agente monitoriza cambios normativos y técnicos en regulación financiera, prevención de blanqueo, mercados de valores, pagos y criptoactivos. Cobertura: CNMV, Banco de España, ESMA, EBA, DOUE. Incluye directivas, r...",,,https://eur-lex.europa.eu/legal-content/ES/TXT/PDF/?uri=OJ:C_202503825,{},"Doc10: Nueva cara nacional de las monedas en euros destinadas a la circulación (C/2025/3825) Cara nacional de la nueva moneda conmemorativa de 2 euros destinada a la circulación emitida por San Marino Las monedas en euros destinadas a la circulación son de curso legal en toda la zona del euro. Con el fin de informar a las personas que manejan monedas en el ejercicio de su profesión y al público en general, la Comisión publica las",,12 de julio de 2025 11:54
